Customer_ID,Name,Email,Phone,Age,City,Rejection_Reason
1163.0,,morganphelps@example.com,+1-356-711-0022x55794,22.0,Ianfurt,Missing mandatory value: Name
1165.0,Sheryl Acosta,reynoldsjessica@ reed-rhodes.biz,(489)300-2877,62.0,Floresmouth,Invalid Email Format: 'reynoldsjessica@ reed-rhodes.biz'
1166.0,Amber Walker,ppowell@example.org,879.871.7751x701,8.0,New Andrealand,Underage customer: 8 (below 18)
1167.0,Tracey Walsh,@cox-brown.com,+1-385-610-2726,69.0,East David,Invalid Email Format: '@cox-brown.com'
1168.0,Cindy Summers,jenniferrodriguez@example.com,2912779827,3.0,Robersonfort,Underage customer: 3 (below 18)
1170.0,Michael Valencia,jamesweber@example.com,+1-652-828-8515x87996,,New Danielfurt,Missing mandatory value: Age
1174.0,Richard Stewart,,828.318.2688,51.0,Jeffreyborough,Missing mandatory value: Email
,Erin Carter,wbarajas@example.net,7158739930,73.0,South Jonathanport,Missing Customer_ID (Primary Key)
1176.0,Jose Townsend,stucker@example.net,358.511.2880,11.0,Port Gina,Underage customer: 11 (below 18)
1178.0,,ystewart@example.net,380-691-9015,42.0,Catherineport,Missing mandatory value: Name
,Mark Evans,susan08@example.net,(310)609-9688,43.0,Lake Judith,Missing Customer_ID (Primary Key)
1181.0,Christine Whitehead,eugenewalker@example.com,612.390.8781,,Coreyshire,Missing mandatory value: Age
1170.0,Mr. Carl Rios,mitchellchad@example.org,277-759-4929x95562,60.0,Port Jeffrey,Duplicate Customer_ID: 1170
1186.0,Kelly Moody,dharrison@example.org,4518844989,10.0,Diazland,Underage customer: 10 (below 18)
1192.0,Kimberly Scott,fletcherkristine@example.net,618.806.3565x12694,7.0,Cherylfurt,Underage customer: 7 (below 18)
1192.0,Christine Harris,marykelly@example.org,717-990-8075,48.0,Travishaven,Duplicate Customer_ID: 1192
